"site_id","monitoring_id","group","parameter","unit","value","notes"
78,"78_0","Physical","Bedrock","%","0",NA
78,"78_0","Physical","Boulders","%","0",NA
78,"78_0","Physical","Cobble","%","0",NA
78,"78_0","Physical","Gravel","%","10",NA
78,"78_0","Physical","Sand","%","90",NA
78,"78_0","Physical","Mud","%","0",NA
78,"78_0","Physical","Organic_matter","%","0",NA
78,"78_0","Physical","Rock_size","mm",NA,NA
78,"78_0","Chemical","Temperature","Degree C","23.8",NA
78,"78_0","Chemical","DO_mgl","mg/l","10.47",NA
78,"78_0","Chemical","DO_percent","%","124.1",NA
78,"78_0","Chemical","Conductivity","µS/cm","158.6",NA
